1,Opportunities (Let's Make Lots of Money) (original version)
2,West End Girls
3,Love Comes Quickly
4,Opportunities (Let's Make Lots of Money) (second version)
5,Suburbia
6,Paninaro
7,It's a Sin
8,What Have I Done to Deserve This?
9,Rent
10,Always on My Mind
11,Heart
12,Domino Dancing
13,Left to My Own Devices
14,It's Alright
15,So Hard
16,Being Boring
17,How Can You Expect to Be Taken Seriously?
18,Where the Streets Have No Name (I Can't Take My Eyes Off You)
19,Jealousy
20,DJ Culture
21,Was It Worth It?
22,Can You Forgive Her?
23,Go West
24,I Wouldn't Normally Do This Kind of Thing
25,Liberation
26,Yesterday, When I Was Mad
27,Paninaro '95
28,Before
29,Se a Vida Ã‰ (That's the Way Life Is)
30,Single-Bilingual
31,A Red Letter Day
32,Somewhere
33,I Don't Know What You Want but I Can't Give It Any More
34,New York City Boy
35,You Only Tell Me You Love Me When You're Drunk
36,Home and Dry
37,I Get Along/E-mail
38,London
